distance_m,method,search_seed,range_rcrb_m,angle_rcrb_deg,physical_crb_trace,minimum_achieved_rate,minimum_rate_margin,transmit_power_margin,validation_passed,wall_seconds,fitness_evaluations,solver_calls,infeasible_evaluations,waveform_file
25.0,hybrid-two-stage-sdr,,0.27719968586029387,0.0009984839853298217,0.07683966614474014,5.00000004332056,4.3320559584003604e-08,7.567464876956365e-09,True,0.3175154000000475,1,1,0,distance_25m/hybrid-two-stage-sdr.npz
30.0,fully-digital-sdr,,0.08071228330627479,0.00024024218369151918,0.006514472694093757,5.000000001362887,1.36288669239093e-09,1.940179572557099e-09,True,0.5829729999995834,1,1,0,distance_30m/fully-digital-sdr.npz
30.0,hybrid-de-sdr,101,0.32903361524925806,0.0012521854378909315,0.10826312044162727,5.000000005328271,5.328271157623021e-09,7.63290586291987e-09,True,72.65544559999944,252,251,20,distance_30m/hybrid-de-sdr_seed_101.npz
30.0,hybrid-de-sdr,202,0.31960942964571737,0.00139750540415965,0.1021501881133851,5.000000007370848,7.370847932008928e-09,1.2319773645685927e-08,True,73.08237760000065,252,250,10,distance_30m/hybrid-de-sdr_seed_202.npz
30.0,hybrid-de-sdr,303,0.3410493995316634,0.001228906809961956,0.11631469338094504,5.000000006021973,6.021973142367187e-09,1.500072244198236e-08,True,71.83060279999972,252,251,32,distance_30m/hybrid-de-sdr_seed_303.npz
30.0,hybrid-pso-sdr,101,0.39883414108573123,0.0010004079532214855,0.15906867240045897,5.000000021646938,2.1646937575781067e-08,3.815131321971421e-09,True,65.87686399999984,252,231,5,distance_30m/hybrid-pso-sdr_seed_101.npz
30.0,hybrid-pso-sdr,202,0.3243945718508462,0.0011133334324979253,0.10523183862387057,5.000000001566151,1.5661507646314021e-09,4.346958348833141e-10,True,69.30527330000041,252,250,5,distance_30m/hybrid-pso-sdr_seed_202.npz
30.0,hybrid-pso-sdr,303,0.31334284739438706,0.0012847515930499598,0.0981837405160196,5.000000000292424,2.9242386290206923e-10,1.0882672540901694e-10,True,70.49221789999956,252,250,4,distance_30m/hybrid-pso-sdr_seed_303.npz
30.0,hybrid-two-stage-sdr,,0.39883414108573123,0.0010004079532214855,0.15906867240045897,5.000000021646938,2.1646937575781067e-08,3.815131321971421e-09,True,0.26363040000069304,1,1,0,distance_30m/hybrid-two-stage-sdr.npz
35.0,fully-digital-sdr,,0.10986273476182574,0.00024022291080212844,0.012069820506925847,5.0000000814842585,8.148425845178053e-08,1.443495989406074e-08,True,0.5078621000002386,1,1,0,distance_35m/fully-digital-sdr.npz
35.0,hybrid-de-sdr,101,0.45057027741362315,0.0012614662702654935,0.20301357537332615,5.000000000139056,1.390558779235107e-10,1.9822721242235275e-10,True,73.29220279999936,252,251,20,distance_35m/hybrid-de-sdr_seed_101.npz
35.0,hybrid-de-sdr,202,0.4426627501196337,0.0017780903017529939,0.19595031130655724,5.000000000121428,1.2142820082772232e-10,3.718128027685452e-10,True,72.67658560000018,252,250,15,distance_35m/hybrid-de-sdr_seed_202.npz
35.0,hybrid-de-sdr,303,0.4658263170785308,0.001233901925974155,0.21699415814673217,5.000000002568795,2.5687949545272204e-09,6.256740903154423e-09,True,72.10376880000058,252,251,28,distance_35m/hybrid-de-sdr_seed_303.npz
35.0,hybrid-pso-sdr,101,0.5423962962167025,0.001002002868008772,0.2941937424554357,5.000000101642812,1.016428123890023e-07,1.7642136640461104e-08,True,66.26969890000055,252,231,5,distance_35m/hybrid-pso-sdr_seed_101.npz
35.0,hybrid-pso-sdr,202,0.445253144033391,0.0011464536983263214,0.1982503626719954,5.000000021694421,2.1694421370455075e-08,9.682707968750037e-09,True,69.77124339999955,252,250,6,distance_35m/hybrid-pso-sdr_seed_202.npz
35.0,hybrid-pso-sdr,303,0.4275297079817104,0.0013267038962090684,0.18278165174309685,5.0000000027914435,2.7914435207776478e-09,1.045322051140829e-09,True,70.73762429999988,252,250,4,distance_35m/hybrid-pso-sdr_seed_303.npz
35.0,hybrid-two-stage-sdr,,0.5423962962167025,0.001002002868008772,0.2941937424554357,5.000000101642812,1.016428123890023e-07,1.7642136640461104e-08,True,0.2485718000007182,1,1,0,distance_35m/hybrid-two-stage-sdr.npz
40.0,fully-digital-sdr,,0.1434983813073967,0.00024020826952844793,0.020591785455419443,5.000000005380897,5.380896617168673e-09,9.441691872780211e-10,True,0.47491529999933846,1,1,0,distance_40m/fully-digital-sdr.npz
40.0,hybrid-de-sdr,101,0.5922488140552032,0.0012499502266073526,0.35075865822572144,5.000000000418163,4.1816328177901596e-10,3.2656544135534205e-10,True,73.17862240000068,252,251,18,distance_40m/hybrid-de-sdr_seed_101.npz
40.0,hybrid-de-sdr,202,0.5715324768306236,0.0015824214490810186,0.3266493728349268,5.0000000014348345,1.4348344734571583e-09,3.431011919019511e-09,True,73.07494189999943,252,250,14,distance_40m/hybrid-de-sdr_seed_202.npz
40.0,hybrid-de-sdr,303,0.6399031379023117,0.0012848954687678929,0.40947602640013503,5.000000000143262,1.432622909192105e-10,1.6461569884995697e-09,True,72.27453270000024,252,251,19,distance_40m/hybrid-de-sdr_seed_303.npz
40.0,hybrid-pso-sdr,101,0.7078849323291252,0.0010033214828368802,0.5011010777252545,5.00000007635919,7.635919008208703e-08,1.3190060599299613e-08,True,66.23417900000004,252,231,5,distance_40m/hybrid-pso-sdr_seed_101.npz
40.0,hybrid-pso-sdr,202,0.5871435351618487,0.0011824798253604178,0.344737531308287,5.000000033599834,3.359983402617672e-08,7.586947958770907e-09,True,69.84889539999949,252,250,7,distance_40m/hybrid-pso-sdr_seed_202.npz
40.0,hybrid-pso-sdr,303,0.5616707091023321,0.001411816094649658,0.31547398607068744,5.000000010384209,1.038420904819759e-08,4.6829882194288075e-09,True,71.09879760000058,252,250,4,distance_40m/hybrid-pso-sdr_seed_303.npz
40.0,hybrid-two-stage-sdr,,0.7078849323291252,0.0010033214828368802,0.5011010777252545,5.00000007635919,7.635919008208703e-08,1.3190060599299613e-08,True,0.34744640000008076,1,1,0,distance_40m/hybrid-two-stage-sdr.npz
