distance_m,method,runs,range_rcrb_m_mean,range_rcrb_m_std,angle_rcrb_deg_mean,angle_rcrb_deg_std,physical_crb_trace_mean,physical_crb_trace_std,wall_seconds_mean,wall_seconds_std,fitness_evaluations_mean,fitness_evaluations_std,solver_calls_mean,solver_calls_std,infeasible_evaluations_mean,infeasible_evaluations_std,trace_reduction_vs_original_hb_percent
15.0,hybrid-pso-sdr,3,0.08528549391510797,0.01265307303939235,0.0011559784710376692,0.00020865164608315845,0.00738034939313456,0.0022416292119003837,66.29961863333347,2.095452839307703,252.0,0.0,243.66666666666666,10.969655114602888,5.666666666666667,1.1547005383792517,25.79335712587656
15.0,hybrid-de-sdr,3,0.08070342023341633,0.0020155540888069337,0.001221897625430913,1.962309301027542e-05,0.006515750797776966,0.0003239845833886056,72.29413179999999,2.409206976879597,252.0,0.0,250.0,1.0,15.0,2.0,34.486571468120644
20.0,fully-digital-sdr,1,0.03586695701492955,0.0,0.000240305654105872,0.0,0.0012864386231014873,0.0,1.8098651999998765,0.0,1.0,0.0,1.0,0.0,0.0,0.0,95.91667112445353
20.0,hybrid-two-stage-sdr,1,0.17749550257017713,0.0,0.0009962601199433399,0.0,0.03150465373498297,0.0,0.1429935999999543,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
20.0,hybrid-pso-sdr,3,0.15270893587549347,0.0216221146598479,0.0011723280752387267,0.00021492760391315807,0.023631696752500857,0.006856969434716444,66.03924773333317,1.9107788711051845,252.0,0.0,243.66666666666666,10.969655114602888,4.666666666666667,0.5773502691896258,24.989822293269427
20.0,hybrid-de-sdr,3,0.14274235768338497,0.005813665590800497,0.0014782705728375554,0.00022799349820398863,0.020397913824977614,0.0016416856861285868,72.09138920000002,2.6281205062665403,252.0,0.0,250.33333333333334,0.5773502691896258,16.0,4.58257569495584,35.25428339392399
25.0,fully-digital-sdr,1,0.05604702592737303,0.0,0.00024026495474544372,0.0,0.00314126913288835,0.0,0.5615015000003041,0.0,1.0,0.0,1.0,0.0,0.0,0.0,95.91191725511761
25.0,hybrid-two-stage-sdr,1,0.27719968586029387,0.0,0.0009984839853298217,0.0,0.07683966614474014,0.0,0.3175154000000475,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
25.0,hybrid-pso-sdr,3,0.23926096204253358,0.03313182284451987,0.0011965556666217198,0.0002452379724710362,0.0579776201958672,0.016442838158211685,69.09833396666697,2.3839023891301103,252.0,0.0,243.66666666666666,10.969655114602888,4.666666666666667,0.5773502691896258,24.547277331141938
25.0,hybrid-de-sdr,3,0.22564389894104062,0.005562342398135138,0.0012834421424840873,0.00011830106323230561,0.050935796069232424,0.0025005257726445976,72.47571966666692,0.7005503497836083,252.0,0.0,250.66666666666666,0.5773502691896258,17.0,6.082762530298219,33.711585923230736
30.0,fully-digital-sdr,1,0.08071228330627479,0.0,0.00024024218369151918,0.0,0.006514472694093757,0.0,0.5829729999995834,0.0,1.0,0.0,1.0,0.0,0.0,0.0,95.90461616622196
30.0,hybrid-two-stage-sdr,1,0.39883414108573123,0.0,0.0010004079532214855,0.0,0.15906867240045897,0.0,0.26363040000069304,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
30.0,hybrid-pso-sdr,3,0.3455238534436548,0.046497583052520775,0.0011328309929231235,0.0001431710254368075,0.12082808384678305,0.03330429223738467,68.55811839999994,2.3966754555022023,252.0,0.0,243.66666666666666,10.969655114602888,4.666666666666667,0.5773502691896258,24.040301573275457
30.0,hybrid-de-sdr,3,0.32989748147554626,0.010746058617942644,0.0012928658840041793,9.13649030719089e-05,0.10890933397865248,0.0071043294067955,72.5228086666666,0.6363406749079429,252.0,0.0,250.66666666666666,0.5773502691896258,20.666666666666668,11.015141094572204,31.533134504026805
35.0,fully-digital-sdr,1,0.10986273476182574,0.0,0.00024022291080212844,0.0,0.012069820506925847,0.0,0.5078621000002386,0.0,1.0,0.0,1.0,0.0,0.0,0.0,95.89732249021095
35.0,hybrid-two-stage-sdr,1,0.5423962962167025,0.0,0.001002002868008772,0.0,0.2941937424554357,0.0,0.2485718000007182,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
35.0,hybrid-pso-sdr,3,0.47172638274393464,0.061840177466238516,0.0011583868208480538,0.0001626790981915668,0.225075252290176,0.060355981613211186,68.92618886666666,2.3507822566583334,252.0,0.0,243.66666666666666,10.969655114602888,5.0,1.0,23.49420813249614
35.0,hybrid-de-sdr,3,0.4530197815372625,0.011774453762430855,0.0014244861659975475,0.00030654014726715653,0.20531934827553852,0.010709729873606421,72.69085240000004,0.594345437666473,252.0,0.0,250.66666666666666,0.5773502691896258,21.0,6.557438524302,30.209478093627308
40.0,fully-digital-sdr,1,0.1434983813073967,0.0,0.00024020826952844793,0.0,0.020591785455419443,0.0,0.47491529999933846,0.0,1.0,0.0,1.0,0.0,0.0,0.0,95.89069224339015
40.0,hybrid-two-stage-sdr,1,0.7078849323291252,0.0,0.0010033214828368802,0.0,0.5011010777252545,0.0,0.34744640000008076,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
40.0,hybrid-pso-sdr,3,0.618899725531102,0.07810884385605649,0.0011992058009489854,0.00020476030050905873,0.3871041983680763,0.0998025808651737,69.06062400000003,2.5262932096078297,252.0,0.0,243.66666666666666,10.969655114602888,5.333333333333333,1.5275252316519465,22.74927842395916
40.0,hybrid-de-sdr,3,0.6012281429293794,0.03505863779609632,0.0013724223814854213,0.00018270193972883775,0.3622946858202611,0.0426013331328873,72.84269900000011,0.49476976449838855,252.0,0.0,250.66666666666666,0.5773502691896258,17.0,2.6457513110645907,27.700278062682326
