distance_m,method,search_seed,generation,evaluations,best_objective,objective_over_original_hb
15.0,hybrid-de-sdr,202,6,84,0.007373391909408987,0.7413668795588453
15.0,hybrid-de-sdr,202,7,96,0.007373391909408987,0.7413668795588453
15.0,hybrid-de-sdr,202,8,108,0.007373391909408987,0.7413668795588453
15.0,hybrid-de-sdr,202,9,120,0.006982437810818488,0.7020579124398018
15.0,hybrid-de-sdr,202,10,132,0.006982437810818488,0.7020579124398018
15.0,hybrid-de-sdr,202,11,144,0.00651112707174933,0.6546693867491495
15.0,hybrid-de-sdr,202,12,156,0.00651112707174933,0.6546693867491495
15.0,hybrid-de-sdr,202,13,168,0.00651112707174933,0.6546693867491495
15.0,hybrid-de-sdr,202,14,180,0.00651112707174933,0.6546693867491495
15.0,hybrid-de-sdr,202,15,192,0.00651112707174933,0.6546693867491495
15.0,hybrid-de-sdr,202,16,204,0.006166847400771463,0.620053358128359
15.0,hybrid-de-sdr,202,17,216,0.006166847400771463,0.620053358128359
15.0,hybrid-de-sdr,202,18,228,0.006166847400771463,0.620053358128359
15.0,hybrid-de-sdr,202,19,240,0.006166847400771463,0.620053358128359
15.0,hybrid-de-sdr,202,20,252,0.006161337340755292,0.6194993422764201
15.0,hybrid-de-sdr,303,0,12,0.009945672126325049,1.0
15.0,hybrid-de-sdr,303,1,24,0.009945672126325049,1.0
15.0,hybrid-de-sdr,303,2,36,0.009945672126325049,1.0
15.0,hybrid-de-sdr,303,3,48,0.009746097695003071,0.9799335400577175
15.0,hybrid-de-sdr,303,4,60,0.007268956480129502,0.730866289156005
15.0,hybrid-de-sdr,303,5,72,0.007268956480129502,0.730866289156005
15.0,hybrid-de-sdr,303,6,84,0.007268956480129502,0.730866289156005
15.0,hybrid-de-sdr,303,7,96,0.007268956480129502,0.730866289156005
15.0,hybrid-de-sdr,303,8,108,0.007268956480129502,0.730866289156005
15.0,hybrid-de-sdr,303,9,120,0.007268956480129502,0.730866289156005
15.0,hybrid-de-sdr,303,10,132,0.007268956480129502,0.730866289156005
15.0,hybrid-de-sdr,303,11,144,0.007268956480129502,0.730866289156005
15.0,hybrid-de-sdr,303,12,156,0.007268956480129502,0.730866289156005
15.0,hybrid-de-sdr,303,13,168,0.007063696143684673,0.7102281327963631
15.0,hybrid-de-sdr,303,14,180,0.007014776678887715,0.705309464236249
15.0,hybrid-de-sdr,303,15,192,0.007014776678887715,0.705309464236249
15.0,hybrid-de-sdr,303,16,204,0.007014776678887715,0.705309464236249
15.0,hybrid-de-sdr,303,17,216,0.007014776678887715,0.705309464236249
15.0,hybrid-de-sdr,303,18,228,0.007014776678887715,0.705309464236249
15.0,hybrid-de-sdr,303,19,240,0.007014776678887715,0.705309464236249
15.0,hybrid-de-sdr,303,20,252,0.006796684784013888,0.6833811428414021
15.0,hybrid-pso-sdr,101,0,12,0.009945672126325049,1.0
15.0,hybrid-pso-sdr,101,1,24,0.009945672126325049,1.0
15.0,hybrid-pso-sdr,101,2,36,0.009945672126325049,1.0
15.0,hybrid-pso-sdr,101,3,48,0.009945672126325049,1.0
15.0,hybrid-pso-sdr,101,4,60,0.009945672126325049,1.0
15.0,hybrid-pso-sdr,101,5,72,0.009945672126325049,1.0
15.0,hybrid-pso-sdr,101,6,84,0.009945672126325049,1.0
